City_Name,Longitude,Lattitude,Temperature,Humidity,Cloudiness,Wind Speed
Tuatapere,167.6833,-46.1333,45.82,92,100,3.78
Fort Walton Beach,-86.6188,30.4058,85.14,71,1,5.99
Green River,-109.4662,41.5286,70.25,32,48,9.86
Mogadishu,45.3438,2.0371,77.23,86,55,18.19
Flin Flon,-101.865,54.7682,78.64,44,75,6.91
Xilitla,-98.9667,21.3333,84.11,59,94,5.97
Gritsovskiy,38.1604,54.1376,69.48,88,13,5.01
Atagay,99.3875,55.1033,51.15,85,71,1.81
Chokurdakh,147.9167,70.6333,63.77,49,100,10.96
Nova Russas,-40.5631,-4.7067,80.85,40,23,2.59
Ixtapa,-105.2,20.7,81.63,78,90,9.22
Atuona,-139.0333,-9.8,78.49,70,62,23.29
Hermanus,19.2345,-34.4187,54.9,76,80,10.25
Port Alfred,26.891,-33.5906,55.92,76,62,13.38
Port Elizabeth,25.5701,-33.918,57.49,77,0,11.5
Lorengau,147.2712,-2.0226,81.41,78,79,3.96
Hong Kong,114.1577,22.2855,84.18,91,97,4
Faanui,-151.75,-16.4833,79.74,78,4,6.82
Taoudenni,-3.9836,22.6783,103.87,8,2,7.83
Fort Nelson,-122.7002,58.8053,87.39,23,20,12.66
Kumul,93.45,42.8,78.15,22,92,6.08
Inírida,-67.9239,3.8653,78.93,89,61,0.78
Gwadar,62.3254,25.1216,82.54,79,33,6.67
Tessalit,1.0114,20.1986,96.26,6,1,9.26
Guayaramerín,-65.3614,-10.8368,81.75,59,88,1.79
Sarandi,-51.8739,-23.4436,72.95,64,0,6.91
Senneterre,-77.2328,48.3835,71.82,98,100,5.35
Namatanai,152.4333,-3.6667,81.45,75,97,3.69
Itarema,-39.9167,-2.9248,77.07,78,2,8.48
Sept-Îles,-66.3821,50.2001,60.85,86,90,4.61
The Pas,-101.2541,53.8251,78.82,47,40,10.36
Shaunavon,-108.4181,49.6501,80.38,35,3,15.19
Richards Bay,32.0377,-28.783,62.13,68,2,1.66
Paragominas,-47.4833,-2.9667,78.33,69,96,4.21
Ponta do Sol,-17.1,32.6667,68.43,74,14,3.13
Pisco,-76.2167,-13.7,66.25,68,20,13.8
Port Moresby,147.1797,-9.4431,74.62,94,20,9.22
Kampong Thom,104.8887,12.7111,76.62,86,22,2.53
Gamba,10,-2.65,72.1,95,90,5.59
Jaciara,-54.9683,-15.9653,77.65,31,3,3.56
Pasni,63.471,25.2631,82.47,78,100,6.89
Premnitz,12.3333,52.5333,63.05,78,10,4.09
Severo-Kuril'sk,156.125,50.6789,46.26,87,80,15.64
Kearney,-99.0815,40.6995,78.06,50,75,14.97
Tasiilaq,-37.6368,65.6145,50.16,62,2,7.72
Kaputa,29.6619,-8.4689,65.16,53,2,1.99
Severomorsk,33.4162,69.0689,50.4,69,96,5.48
South Kazakhstan Region,68,43,75.07,22,1,13.69
Mnogovershinnyy,139.9242,53.9353,59.2,63,7,1.41
Upernavik,-56.1549,72.7868,37.67,97,100,14.36
Mahébourg,57.7,-20.4081,73.69,83,75,9.22
Ribeira Grande,-28.7,38.5167,68.04,78,21,11.27
Naze,129.4833,28.3667,77.92,89,100,11.27
Martigues,5.05,43.4,70.5,68,0,3.44
Lüshunkou,121.2667,38.8,70.02,93,60,10.33
Lebu,-73.65,-37.6167,47.03,73,1,14.72
Tūkrah,20.5791,32.5341,81.32,53,0,7.38
Boende,20.8667,-0.2167,79.57,54,75,1.16
Atar,-13.0499,20.5169,95.88,13,17,4.16
Manaure,-72.4445,11.7751,83.43,73,100,7.34
Tiksi,128.8694,71.6872,34.79,87,100,8.72
San Cristobal,-72.225,7.7669,77.18,78,76,2.93
Forsytheganj,29.7333,52.6333,63.37,98,100,7.2
George Town,100.3354,5.4112,78.64,91,20,3.44
Zhangaözen,52.8,43.3,89.02,25,26,12.86
Meulaboh,96.1285,4.1363,74.95,91,92,6.38
Jamestown,-79.2353,42.097,81.36,64,75,7
Lucapa,20.7447,-8.4192,69.06,38,1,3.38
Hervey Bay,152.8535,-25.2986,55.02,91,100,7
Rawson,-65.1023,-43.3002,44.02,70,98,25.99
Hobart,147.3294,-42.8794,47.23,75,40,1.01
Broken Hill,141.4333,-31.95,42.42,78,0,3.02
Tsimmerbude,20.1347,54.675,55.45,89,4,6.64
Bambous Virieux,57.7575,-20.3428,73.65,83,75,9.22
Arrondissement de Mende,3.5,44.6667,52.92,84,33,5.14
Zhangjiakou,114.8794,40.81,69.22,65,2,2.35
Elko,-115.5012,41.0002,87.57,17,25,5.99
Río Gallegos,-69.2181,-51.6226,33.85,80,0,6.91
Mossamedes,12.1522,-15.1961,66.88,83,32,6.49
Hay River,-115.7999,60.8156,75.18,46,75,14.97
Sorong,131.25,-0.8833,78.12,87,73,6.24
Honāvar,74.45,14.2833,77.54,86,100,5.46
Saldus,22.4881,56.6636,55.81,98,28,3.67
Kurchum,83.6542,48.5722,52.93,70,85,7
Hearst,-83.6665,49.6835,79.05,37,100,4.03
Nokha,73.4167,27.6,87.48,49,59,16.37
Burnie,145.9167,-41.0667,46.92,67,21,10.98
Jiuquan,98.5174,39.7432,68.45,47,53,1.9
Coahuayana Viejo,-103.6833,18.7333,83.68,91,100,3.58
Yārāda,83.2667,17.65,80.92,89,75,2.3
Marrakesh,-8.0083,31.6315,78.87,50,0,4.61
Busselton,115.3333,-33.65,55.04,62,82,26.17
Karratha,116.8463,-20.7377,64.56,49,100,6.67
Champasak,106,14.75,72.82,99,97,2.28
Avarua,-159.775,-21.2078,75.25,69,75,14.97
Matamoros,-103.25,25.5333,95.11,23,40,9.22
Toribío,-76.2684,2.9548,71.06,92,89,0.31
Juegang,121.1855,32.3174,74.28,96,100,2.44
Līsakovsk,62.4936,52.5369,68.07,78,79,6.04
Ancud,-73.8203,-41.8697,42.22,82,6,5.73
Beyla,-8.6333,8.6833,68.85,95,13,3.24
Cairns,145.7667,-16.9167,70.84,89,90,11.5
Matthews,-80.7237,35.1168,84.65,65,1,1.01
Kiama,150.8667,-34.6833,53.04,67,0,8.99
Örnsköldsvik,18.7153,63.2909,50.95,93,63,0
Noto,15.0693,36.8901,80.78,48,26,6.6
Cayenne,-52.3333,4.9333,82.09,79,0,4
Kupang,123.5833,-10.1667,79.38,83,40,12.66
Carnarvon,113.6333,-24.8667,46.47,58,89,10.36
Micheweni,39.8333,-4.9667,74.43,73,2,11.97
Mporokoso,30.125,-9.3727,55.31,54,0,4.54
Grand-Santi,-54.3833,4.25,73.6,97,100,3.15
Inongo,18.2667,-1.95,73.02,66,49,2.37
Turbat,63.044,26.0023,82.31,75,58,6.51
Noshiro,140.0242,40.2039,70.74,70,100,3.02
Mulegé,-111.9833,26.8833,94.87,37,35,10.4
Sangar,127.4739,63.9242,69.76,52,27,4.88
Tiznit Province,-9.5,29.5833,70.83,49,0,1.14
Berck,1.6,50.4,62.6,94,99,10.36
Kamenka,42.7678,51.3223,67.6,78,64,8.03
Comodoro Rivadavia,-67.5,-45.8667,42.66,65,0,4.61
Charters Towers,146.2667,-20.1,57.9,90,100,11.36
Tezu,96.1667,27.9167,76.37,99,100,1.81
Mata,-7.4592,40.683,59.94,84,95,5.73
Minot,-101.2963,48.2325,68.99,64,75,10.36
Buchanan,-10.0467,5.8808,76.96,84,99,6.64
Narva-Jõesuu,28.0408,59.4589,60.62,91,17,1.63
Codrington,141.9667,-38.2667,51.85,85,69,6.71
Bubaque,-15.8333,11.2833,77.88,85,100,8.5
Quirinópolis,-50.4517,-18.4483,73.67,30,1,4.07
Kharp,65.8081,66.8014,52.59,66,100,5.06
Airai,125.4092,-8.9266,57.9,95,79,4.25
Brae,-1.353,60.3964,49.91,86,96,13.65
Barra dos Coqueiros,-37.0386,-10.9089,73.42,88,75,10.36
Beruwala,79.9828,6.4788,78.58,85,97,11.41
Adré,22.2,13.4667,90.75,16,100,2.48
Kloulklubed,134.2556,7.0419,83.43,73,100,8.97
Luís Correia,-41.6669,-2.8792,77.67,80,14,7.07
Longyearbyen,15.6401,78.2186,40.84,81,0,9.22
Yulara,130.9889,-25.2406,37.24,87,9,5.75
Tādepallegūdem,81.5,16.8333,81.5,79,99,6.53
Khatanga,102.5,71.9667,48.97,48,72,7.67
Nelson Bay,152.15,-32.7167,49.24,87,0,1.01
Lac du Bonnet,-96.0612,50.2536,77.59,49,60,8.86
Villarrica,-56.4333,-25.75,64.76,97,100,7.52
Robertsport,-11.3686,6.7533,79.43,78,100,7.58
Santa Lucía,-15.5407,27.9117,61.9,68,75,20.71
Beira,34.8389,-19.8436,68.18,91,1,8.59
New Norfolk,147.0587,-42.7826,45.82,79,82,5.37
Tshikapa,20.8,-6.4167,73.6,37,25,2.19
Hirara,125.2833,24.8,84.47,94,75,10.36
Akom,12.7109,2.6678,67.26,96,18,2.51
Jūybār,52.9124,36.6412,82.65,36,0,4.65
Chokwé,32.9833,-24.5333,65.62,92,0,8.05
Dikson,80.5464,73.5069,32.67,84,20,2.21
Arraial do Cabo,-42.0278,-22.9661,72.01,78,14,23.78
Mayo,-76.5119,38.8876,82.67,82,1,3
Lagoa,-27.9833,39.05,67.05,78,18,11.18
Inhambane,35.3833,-23.865,66.88,68,0,4.59
Polovinnoye,65.9864,54.7914,62.42,91,97,8.79
Maceió,-35.7353,-9.6658,74.64,78,0,3.44
Tromsø,18.957,69.6496,45.88,87,75,5.75
Melfort,-104.6177,52.8667,80.73,32,96,12.66
Vila Velha,-40.2925,-20.3297,69.75,83,40,2.3
Lavrentiya,-171,65.5833,44.13,88,100,8.03
Jaffna,80.0074,9.6685,82.65,81,100,18.97
Zhigansk,123.3711,66.7697,60.91,82,100,5.68
Port Augusta,137.7667,-32.5,47.71,79,0,4.07
La Ronge,-105.2842,55.1001,75.45,46,90,8.05
Boyabat,34.7667,41.4689,65.82,90,6,2.01
Shimoda,138.95,34.6667,71.1,82,100,5.86
Linxia Chengguanzhen,103.2064,35.6003,58.93,82,69,3.09
Portland,-122.6762,45.5234,104.04,29,1,1.01
Dingle,122.6711,10.9995,76.55,89,100,4.23
Port Lincoln,135.8667,-34.7333,54.19,89,10,8.37
Dudinka,86.1778,69.4058,45.43,60,100,20.67
Gushikawa,127.8686,26.3544,77.88,91,90,10.36
Kulu,33.0799,39.0951,69.33,56,18,6.13
Port Macquarie,152.9167,-31.4333,46.29,68,0,4.05
Guantánamo,-75.2092,20.1444,83.61,88,77,2.71
Sørland,12.6934,67.667,50.09,84,92,31.47
Pemba,40.5178,-12.974,75.18,70,0,9.95
Morgan City,-91.2068,29.6994,85.71,74,20,5.75
Lesogorskiy,28.9294,61.0455,64.13,90,4,4.52
Kinsale,-8.5306,51.7075,54.77,76,20,12.66
Ishigaki,124.1572,24.3448,80.73,100,75,4.61
Lawrenceburg,-84.8966,38.0373,85.15,56,1,10
Wajima,136.9,37.4,71.02,84,100,5.06
Norman Wells,-126.8329,65.282,82.44,30,40,5.75
Preobrazheniye,133.9064,42.9019,61.9,81,43,3.78
Boca do Acre,-67.3978,-8.7522,78.98,73,100,1.68
Makurdi,8.5121,7.7411,74.21,91,91,4.29
Bogoslovka,44.8013,53.2084,64.11,92,67,4.97
Pihuamo,-103.3828,19.2499,75.09,88,100,9.37
Trāl,75.1,33.9333,59.94,62,5,2.95
Beringovskiy,179.3167,63.05,39.61,85,34,5.73
Pareora,171.2132,-44.4871,45.18,97,7,4.88
Morondava,44.2833,-20.2833,64.99,67,0,7.49
Nosy Varika,48.5333,-20.5833,65.1,89,16,5.7
Melendugno,18.3368,40.2747,77.38,78,0,6.91
Klyuchi,79.1667,52.2667,58.89,63,100,5.5
Sompeta,84.6,18.9333,83.21,79,62,4.92
Klyuchi,79.1667,52.2667,58.89,63,100,5.5
San Fernando,120.6898,15.0286,78.87,88,95,1.81
Kaitangata,169.8464,-46.2817,46.56,88,100,4.76
Aklavik,-135.0107,68.2191,60.8,63,75,13.8
Isangel,169.2667,-19.55,78.91,73,75,3.44
Guerrero Negro,-114.0611,27.9769,73.42,64,10,18.07
Hamilton,-84.5333,39.1834,85.08,61,1,3
Wick,-3.0833,58.4333,50.05,81,99,2.3
Tahoua,5.2692,14.8888,96.21,24,77,8.75
Craig,-107.5464,40.5153,66.09,45,90,17.27
Saint George,-113.5841,37.1041,100.42,14,1,3
Russellville,-93.1338,35.2784,91.13,54,1,6.91
Einbeck,9.8667,51.8167,59.97,84,15,1.92
Ranong,98.6348,9.9658,78.6,87,99,7.18
Hofn,-15.2082,64.2539,52.21,63,52,6.62
Bonaventure,-65.4926,48.0457,68.92,77,100,3.44
Ibrā’,58.5334,22.6906,79.09,59,0,3.02
Prince Rupert,-130.3201,54.3161,69.26,70,1,6.91
Husavik,-17.3389,66.0449,64.31,67,53,1.83
Solnechnyy,136.6319,50.7214,55.83,96,99,3.42
Maţāy,30.7792,28.419,86.68,30,0,9.17
Saint-Joseph,55.6167,-21.3667,67.35,78,8,4.5
Requena,-1.1004,39.4883,65.39,59,26,3.91
Zaterechnyy,45.2097,44.7931,80.49,41,100,9.33
Nizwá,57.5333,22.9333,83.44,48,21,1.66
Shuiji,118.345,27.4214,76.44,96,100,1.86
Vila,-8.1588,42.0304,53.58,90,100,2.86
Bengkulu,102.2655,-3.8004,74.28,90,33,4.23
Araouane,-3.5265,18.9048,94.62,17,25,2.62
Koumac,164.2833,-20.5667,74.66,67,86,4.72
Russell,-85.1999,32.3502,85.69,58,1,5.75
Salalah,54.0924,17.0151,80.69,89,75,5.75
Dibulla,-73.3091,11.2725,80.42,86,100,2.51
Dwārka,68.9678,22.2394,83.34,70,94,14.36
Great Yarmouth,1.7305,52.6083,58.55,93,100,10.56
Saint-Philippe,55.7679,-21.3585,67.89,79,17,7.25
Olafsvik,-23.7142,64.8945,48.78,86,100,12.41
Erzin,36.2,36.9559,75.02,80,0,0.72
San Andrés,-81.7006,12.5847,78.82,78,75,4.61
Bilibino,166.4372,68.0546,67.26,31,100,1.28
Silifke,33.9344,36.3778,82.44,51,0,8.79
Evensk,159.2333,61.95,58.66,73,90,7.31
Nortelândia,-56.8028,-14.4547,83.71,37,23,3.78
Vestmannaeyjar,-20.2734,63.4427,49.08,88,46,7.25
Nauta,-73.5757,-4.5061,77.79,81,94,3.67
Goderich,-81.7165,43.7501,77.38,73,100,19.57
Pangnirtung,-65.7125,66.1451,41.11,96,100,4.12
Bela,81.9833,25.9333,83.07,79,93,5.37
Manturovo,44.7619,58.3353,66.65,82,26,1.7
Botucatu,-48.445,-22.8858,67.14,50,100,1.57
Caranavi,-67.55,-15.8167,64.76,96,54,1.7
Berlevåg,29.0864,70.8578,46.2,91,100,2.37
Ossora,163.0719,59.2353,51.3,82,94,2.84
Boundiali,-6.4869,9.5217,70.52,95,100,1.5
Imbituba,-48.6703,-28.24,65.82,90,95,12.64
Inta,60.1659,66.0317,52.97,91,100,2.24
Oktyabr'skoye,44.7417,43.0645,68.14,94,100,4.47
Yinchuan,106.2731,38.4681,78.33,30,10,3.02
Calvinia,19.776,-31.4707,43.97,75,31,5.95
Ostrovnoy,39.5131,68.0531,43.65,83,82,3.65
Cape Town,18.4232,-33.9258,55.89,67,40,3
Kruisfontein,24.7314,-34.0033,51.89,84,96,7.78
Tongzi,105.0877,28.7829,73.8,96,100,1.77
Khovd,91.6419,48.0056,55,41,17,5.55
Fuling,107.3919,29.7022,76.42,98,99,1.41
Mandalgovi,106.2708,45.7625,71.38,30,96,9.51
Ushuaia,-68.3,-54.8,38.86,81,0,3.44
Ōfunato,141.7167,39.0717,69.84,83,95,0.85
Yining,114.5636,29.0361,77.67,93,91,1.5
Corn Island,-83.0418,12.1694,78.73,80,100,16.22
Wangkui,126.5,46.8333,66.88,86,13,5.39
Marawi,124.2928,7.9986,67.64,93,97,1.92
Butaritari,172.7902,3.0707,82.51,76,100,13.22
Fuyang,115.8167,32.9,72.37,98,100,4.52
Palekastro,26.25,35.2,81.12,58,0,9.89
Thornaby,-1.3,54.5333,54.68,80,100,1.01
Praia da Vitória,-27.0667,38.7333,71.85,78,40,4.61
Hammerfest,23.6821,70.6634,46.85,93,75,4.61
Raja,25.678,8.4596,72.37,78,80,6.49
Sawākin,37.3321,19.1059,87.82,51,80,3.22
Saskylakh,114.0833,71.9167,45.88,56,80,7.23
Majene,118.9707,-3.5403,75.83,88,100,4.07
Marquard,27.4305,-28.6645,35.89,61,4,3.4
Brainerd,-94.2008,46.358,73.04,64,90,6.91
Campo Verde,-54.0667,-20.4167,78.01,29,97,5.99
Bathsheba,-59.5167,13.2167,83.01,57,20,21.85
Koygorodok,50.9968,60.445,60.03,81,6,4.7
Havøysund,24.6622,70.9963,47.28,87,100,5.37
Yuci,112.7319,37.6803,74.95,69,76,8.95
Wencheng,113.7978,33.0559,74.55,95,100,1.95
Katobu,122.5276,-4.9408,73.71,96,100,6.31
Durban,31.0292,-29.8579,60.55,78,1,4
Cabo San Lucas,-109.9124,22.8909,91.08,48,1,9.22
Dalen,6.7556,52.6992,62.94,88,78,7.18
East London,27.9116,-33.0153,58.17,67,29,11.07
Kawalu,108.2082,-7.3817,71.33,98,33,1.54
Yueyang,113.0919,29.3333,80.06,86,99,3.56
Narasannapeta,84.05,18.4167,83.44,77,80,3.89
Canavieiras,-38.9472,-15.675,69.57,74,9,6.15
Abhā,42.5053,18.2164,68.25,12,0,0
Clyde River,-68.5914,70.4692,35.83,93,90,20.71
Roboré,-59.75,-18.3333,86.09,54,18,4.61
Buraidah,43.975,26.326,89.42,9,0,5.03
Chui,-53.4616,-33.6971,55.9,96,100,3.42
Thompson,-97.8558,55.7435,73.56,31,40,6.91
Nur-Sultan,71.446,51.1801,48.15,76,0,8.95
Calabozo,-67.4293,8.9242,81.63,80,69,3.22
Touros,-35.4608,-5.1989,77.9,76,19,20.04
Mataura,168.8643,-46.1927,45.48,93,100,2.46
Geraldton,114.6,-28.7667,46.81,71,0,19.57
Samarai,150.6667,-10.6167,80.1,83,86,10
Laguna,-121.4238,38.421,97.72,31,1,4
Ouro Sogui,-13.3211,15.6064,89.6,58,0,4.61
Shelburne,-80.2041,44.0787,73.31,93,100,17.94
Tazovsky,78.7,67.4667,41.04,73,0,10.51
Kota Kinabalu,116.0724,5.9749,75.18,100,20,4.61
Padang,100.3543,-0.9492,75.79,88,80,3.78
Hede,120.2517,33.7681,75.04,92,100,8.48
Gimli,-96.9907,50.6336,70.18,78,31,3.44
Kota Tinggi,103.8999,1.7381,76.69,91,19,0.83
Saldanha,17.9442,-33.0117,48.25,78,48,8.66
Kjøllefjord,27.3465,70.9457,46.47,88,100,1.36
Vaini,-175.2,-21.2,75.36,69,20,10.36
Lunglei,92.7333,22.8833,68.11,98,92,1.59
Ajdabiya,20.2263,30.7554,85.39,31,0,10.09
Caravelas,-39.2481,-17.7125,70.27,63,4,6.71
Kargasok,80.8572,59.0556,47.19,74,52,1.25
Torbay,-52.7314,47.6666,65.17,65,75,16.11
Melo,-54.1833,-32.3667,53.31,98,100,6.06
Sundsvall,17.3063,62.3913,59.97,85,20,2.3
Talaya,152.75,61.3833,67.91,43,16,1.72
Los Llanos de Aridane,-17.9182,28.6585,63.12,91,40,14.97
Kuusamo,29.1833,65.9667,51.84,87,90,8.05
Rikitea,-134.9692,-23.1203,74.53,76,3,10
Anloga,0.8973,5.7947,73.62,77,100,18.39
Ciudad Bolivar,-63.5497,8.1222,85.73,61,39,6.02
Salisbury,-1.7957,51.0693,61,82,75,8.05
Tautira,-149.15,-17.7333,84.22,77,2,4.99
Kachug,105.8817,53.9606,55.18,87,100,4.23
Kiryat Gat,34.7642,31.61,74.88,74,0,2.01
Acaraú,-40.12,-2.8856,77.43,78,2,8.63
Lompoc,-120.4579,34.6391,71.6,71,1,18.41
Rāwah,41.9093,34.4816,91.98,17,3,9.86
Shīeli,66.75,44.1667,74.75,28,4,7.25
Amapá,-52,1,74.79,85,82,2.17
Cidreira,-50.2056,-30.1811,61.99,97,100,9.26
Klaksvík,-6.589,62.2266,47.32,83,1,9.06
Tuktoyaktuk,-133.0374,69.4541,55.4,62,20,12.66
Tariba,-72.2243,7.8188,77.56,81,80,2.66
Yerbogachën,108.0108,61.2767,56.73,86,77,5.7
Talnakh,88.3972,69.4865,47.39,65,99,5.68
Shubarshi,57.1869,48.5872,73.6,54,1,8.43
Ilulissat,-51.1,69.2167,46.42,71,75,5.75
Kuching,110.3333,1.55,73.62,100,40,9.22
Emerald,148.1667,-23.5333,51.94,71,0,10.36
Sandnessjøen,12.6316,66.0217,49.98,79,99,19.64
Chu,73.7614,43.5983,61.56,33,42,4.92
Kudat,116.8477,6.8837,75.13,100,20,2.3
Marzuq,46.4667,14.4,77.68,40,36,4.68
Esperance,121.9,-33.8667,46.24,61,0,17.09
Piaçabuçu,-36.4344,-10.4056,73.29,79,78,8.41
Umeå,20.2597,63.8284,49.93,87,93,1.14
Chirilagua,-88.1386,13.2203,87.49,66,100,4.59
Mar del Plata,-57.5575,-38.0023,49.1,76,90,15.01
Tucupita,-62.051,9.0622,78.87,85,92,5.75
Visnes,5.2242,59.3556,53.91,87,90,16.11
Nanortalik,-45.2371,60.1432,48.13,85,97,3.91
Misratah,15.0925,32.3754,81.82,58,0,6.42
Narsaq,-46.05,60.9167,61.02,88,95,1.36
Aitape,142.3475,-3.1374,78.46,85,22,5.28
Krasnosel'kup,82.4667,65.7,44.35,65,12,16.84
Beaufort,115.7455,5.3473,77.16,96,71,3.18
Tchibanga,11.0333,-2.85,69.55,97,63,2.37
Siddipet,78.85,18.1,75.65,87,100,9.19
Rocha,-54.3333,-34.4833,54.34,95,96,5.26
Abriaquí,-76.0644,6.6315,61.79,86,84,1.9
Ormara,64.6357,25.2088,82.11,81,98,9.95
Puerto Ayora,-90.3518,-0.7393,73.54,88,53,7
Kungurtug,97.5228,50.5994,49.93,75,100,0.92
Sabha,14.4283,27.0377,91.87,13,0,11.9
Hollister,-121.4016,36.8525,81.57,44,1,12.66
Bāglung,83.5898,28.2719,68.13,82,92,4.47
Saint-Pierre,55.4781,-21.3393,67.95,73,90,5.75
Krasnoshchekovo,82.7289,51.6708,47.73,87,65,3.33
Chiredzi,31.6667,-21.05,63.68,33,0,4.74
Qaanaaq,-69.3632,77.484,40.59,72,17,4.05
Hindoria,79.5667,23.9,81.61,71,100,2.06
Necochea,-58.7368,-38.5473,44.04,69,100,11.45
Yellowknife,-114.3525,62.456,79.32,34,75,23.02
Haines Junction,-137.5108,60.7522,75.15,27,99,9.22
Cherskiy,161.3,68.75,72.43,34,100,8.39
Geraldton,114.6,-28.7667,46.81,71,0,19.57
Mount Isa,139.5,-20.7333,51.57,54,7,9.22
Qasigiannguit,-51.1922,68.8193,46.65,79,96,6.89
Egvekinot,-179.1667,66.3167,44.94,53,68,5.44
Yertsevo,40.086,60.7966,64.08,98,18,4.38
Tevriz,72.4042,57.509,51.87,85,90,3.78
